Result_num	GO_Category	GO_ID	GO_Term	Annotated	Significant	Expected	weight01Fisher	Tissue	Comparison	Expression
24	BP	GO:1903779	regulation of cardiac conduction	33	1	0.01	0.0093	spleen	bd_ctl	up
25	BP	GO:1901021	positive regulation of calcium ion trans...	36	1	0.01	0.0102	spleen	bd_ctl	up
26	BP	GO:0072599	establishment of protein localization to...	41	1	0.01	0.0116	spleen	bd_ctl	up
27	BP	GO:0003143	embryonic heart tube morphogenesis	44	1	0.01	0.0124	spleen	bd_ctl	up
28	BP	GO:0050868	negative regulation of T cell activation	56	1	0.02	0.0158	spleen	bd_ctl	up
29	BP	GO:0050728	negative regulation of inflammatory resp...	81	1	0.02	0.0228	spleen	bd_ctl	up
30	BP	GO:0035994	response to muscle stretch	86	1	0.02	0.0241	spleen	bd_ctl	up
31	BP	GO:0071466	cellular response to xenobiotic stimulus	105	1	0.03	0.0294	spleen	bd_ctl	up
32	BP	GO:0003300	cardiac muscle hypertrophy	124	1	0.04	0.0347	spleen	bd_ctl	up
33	BP	GO:0030509	BMP signaling pathway	132	1	0.04	0.0369	spleen	bd_ctl	up
1	CC	GO:0014701	junctional sarcoplasmic reticulum membra...	5	1	0	0.0013	spleen	bd_ctl	up
2	CC	GO:0005790	smooth endoplasmic reticulum	23	1	0.01	0.0059	spleen	bd_ctl	up
3	CC	GO:0034707	chloride channel complex	26	1	0.01	0.0067	spleen	bd_ctl	up
4	CC	GO:0034704	calcium channel complex	29	1	0.01	0.0075	spleen	bd_ctl	up
5	CC	GO:0005923	bicellular tight junction	121	1	0.03	0.0309	spleen	bd_ctl	up
6	CC	GO:0042383	sarcolemma	132	1	0.03	0.0337	spleen	bd_ctl	up
1	MF	GO:0034236	protein kinase A catalytic subunit bindi...	6	1	0	0.0017	spleen	bd_ctl	up
2	MF	GO:0090729	toxin activity	11	1	0	0.0032	spleen	bd_ctl	up
3	MF	GO:0102567	"phospholipase A2 activity (consuming 1,2..."	22	1	0.01	0.0064	spleen	bd_ctl	up
4	MF	GO:0102568	"phospholipase A2 activity consuming 1,2-..."	22	1	0.01	0.0064	spleen	bd_ctl	up
