gene	GO_ID
comp1003412	GO:0004674, GO:0005524, GO:0005634, GO:0005737, GO:0005783, GO:0005789, GO:0006468, GO:0016021, GO:0016032, GO:0018105, GO:0018107, GO:0019901, GO:0019904, GO:0031966, GO:0032991, GO:0034599, GO:0043408, GO:0046777, GO:2000659
comp1003539	GO:0000139, GO:0001669, GO:0003723, GO:0005794, GO:0005829, GO:0007286, GO:0009566, GO:0012506, GO:0016020, GO:0016021, GO:0060009, GO:0098609
comp1004008	GO:0000122, GO:0003677, GO:0005634, GO:0005654, GO:0005730, GO:0005737, GO:0005829, GO:0007420, GO:0007612, GO:0007613, GO:0008022, GO:0008266, GO:0016363, GO:0034046, GO:0035176, GO:0042405, GO:0042802, GO:0043621, GO:0045892, GO:0048286, GO:0051168
comp1004565	GO:0005634, GO:0006309, GO:0007010, GO:0016192, GO:0043044, GO:0061640, GO:0090537, GO:0097194
comp1004614	GO:0004430, GO:0005524, GO:0005737, GO:0005886, GO:0016020, GO:0030660, GO:0046854, GO:0048015
comp1004682	GO:0001755, GO:0005615, GO:0005887, GO:0007411, GO:0021612, GO:0021637, GO:0021675, GO:0021785, GO:0030215, GO:0030335, GO:0036486, GO:0038191, GO:0045499, GO:0048843, GO:0048846, GO:0050919, GO:0061549, GO:0071526, GO:0097490, GO:0097491, GO:0098978, GO:0099175, GO:1901166, GO:1902285, GO:1902287
comp1004744	GO:0001822, GO:0004721, GO:0005886, GO:0005925, GO:0008285, GO:0014850, GO:0019725, GO:0019900, GO:0032963, GO:0035264, GO:0035556, GO:0046872, GO:0048871
comp1004765	GO:0005794, GO:0015297, GO:0016021, GO:0022857
comp1005561	GO:0000122, GO:0000978, GO:0001227, GO:0001669, GO:0001825, GO:0002260, GO:0003682, GO:0003714, GO:0005634, GO:0005737, GO:0007050, GO:0007179, GO:0007283, GO:0007519, GO:0016605, GO:0019904, GO:0030512, GO:0030514, GO:0032991, GO:0034097, GO:0044877, GO:0045596, GO:0046332, GO:0048666, GO:0050772, GO:0070207, GO:0070208, GO:0070306, GO:0070848, GO:1902043, GO:1902231
comp100607	GO:0000976, GO:0000978, GO:0000981, GO:0001228, GO:0001501, GO:0001666, GO:0001841, GO:0002328, GO:0003183, GO:0003211, GO:0003215, GO:0003289, GO:0003357, GO:0003700, GO:0003713, GO:0005634, GO:0005654, GO:0005737, GO:0005739, GO:0006355, GO:0006977, GO:0007507, GO:0008284, GO:0008285, GO:0014009, GO:0021510, GO:0021522, GO:0021782, GO:0030154, GO:0030217, GO:0031018, GO:0031397, GO:0031647, GO:0032024, GO:0035019, GO:0035910, GO:0042593, GO:0042769, GO:0043065, GO:0044798, GO:0045727, GO:0045893, GO:0045944, GO:0046982, GO:0048485, GO:0050821, GO:0060174, GO:0060412, GO:0060548, GO:0060563, GO:0060993, GO:0071333, GO:0090263, GO:2000761
comp1006096	GO:0016021
comp1006112	GO:0003824, GO:0005634, GO:0007275, GO:0009986, GO:0010629, GO:0042981
comp1006136	GO:0004714, GO:0005004, GO:0005005, GO:0005524, GO:0005576, GO:0005769, GO:0005886, GO:0005887, GO:0007155, GO:0007169, GO:0007411, GO:0010717, GO:0010976, GO:0016477, GO:0018108, GO:0032956, GO:0043005, GO:0043087, GO:0043235, GO:0045806, GO:0048013, GO:0051893, GO:0070507, GO:0071300, GO:0097155, GO:0097156, GO:1903078
comp1006449	GO:0000794, GO:0001701, GO:0001756, GO:0002020, GO:0003007, GO:0003300, GO:0004674, GO:0004713, GO:0005200, GO:0005509, GO:0005516, GO:0005524, GO:0005859, GO:0005865, GO:0006936, GO:0007507, GO:0007512, GO:0008307, GO:0010628, GO:0010737, GO:0019899, GO:0019901, GO:0021591, GO:0030016, GO:0030017, GO:0030018, GO:0030240, GO:0030241, GO:0030506, GO:0031430, GO:0031433, GO:0031672, GO:0031674, GO:0035995, GO:0042802, GO:0042805, GO:0043056, GO:0043621, GO:0045214, GO:0045859, GO:0048739, GO:0048769, GO:0050714, GO:0050790, GO:0051015, GO:0051371, GO:0051592, GO:0055002, GO:0055003, GO:0055008, GO:0060048, GO:0060419, GO:0071688, GO:1901897
comp1006556	GO:0001560, GO:0003777, GO:0005524, GO:0005737, GO:0005871, GO:0005874, GO:0008017, GO:0009968, GO:0048484
comp1006924	GO:0005524, GO:0005829, GO:0005975, GO:0046872, GO:0047940
comp1006937	GO:0000122, GO:0000978, GO:0000981, GO:0000987, GO:0001227, GO:0001890, GO:0002040, GO:0003677, GO:0003700, GO:0003714, GO:0005634, GO:0005730, GO:0005829, GO:0008134, GO:0008283, GO:0032466, GO:0032877, GO:0033301, GO:0042802, GO:0042803, GO:0043565, GO:0045944, GO:0051726, GO:0060707, GO:0060718, GO:0070365, GO:0090575
comp100723	GO:0001740, GO:0003677, GO:0005524, GO:0006302, GO:0009048, GO:0016887, GO:0035861, GO:0042803, GO:0043584, GO:0045739, GO:0060820, GO:0060821, GO:0070868, GO:2000042, GO:2001034
comp1008968	GO:0008033, GO:0102522
comp1008977	GO:0001740, GO:0003677, GO:0005524, GO:0006302, GO:0009048, GO:0016887, GO:0035861, GO:0042803, GO:0043584, GO:0045739, GO:0060820, GO:0060821, GO:0070868, GO:2000042, GO:2001034
comp1009147	GO:0001654, GO:0001725, GO:0002244, GO:0003382, GO:0005096, GO:0005615, GO:0007010, GO:0016324, GO:0045177, GO:0051056, GO:0061689, GO:0090162
comp1009222	GO:0005089, GO:0005737, GO:0016020, GO:0030426, GO:0035023, GO:0043087, GO:0048013, GO:0061002
comp1009574	GO:0000122, GO:0003676, GO:0046872
comp1009791	GO:0000978, GO:0003700, GO:0005634, GO:0007275, GO:0043565
comp1009836	GO:0005109, GO:0005615, GO:0016055, GO:0030182, GO:0032331, GO:0045165, GO:0061072, GO:0061303, GO:0072498, GO:1902764
comp1009903	GO:0003333, GO:0005280, GO:0005765, GO:0005783, GO:0005886, GO:0006811, GO:0006865, GO:0015078, GO:0015171, GO:0015180, GO:0015187, GO:0015193, GO:0015808, GO:0015816, GO:0016021, GO:0035524, GO:1902600
comp1009953	GO:0005634, GO:0005737, GO:0005886, GO:0016021
comp1010026	
comp101011	GO:0005201, GO:0005576, GO:0005581, GO:0005615, GO:0005788, GO:0030198, GO:0031012
comp1010298	GO:0003774, GO:0005516, GO:0005524, GO:0005886, GO:0005903, GO:0015031, GO:0016192, GO:0016197, GO:0016459, GO:0016887, GO:0017137, GO:0032880, GO:0032991, GO:0035255, GO:0043005, GO:0043025, GO:0043197, GO:0045179, GO:0045773, GO:0048471, GO:0050775, GO:0050804, GO:0051015, GO:0060997, GO:0098685, GO:0098871, GO:0098944, GO:0098978, GO:0099003, GO:0099159, GO:0099639, GO:1903078, GO:1903543
comp1010502	
comp1010569	GO:0000978, GO:0003677, GO:0003700, GO:0005634, GO:0005654, GO:0006357, GO:0043231
comp101081	GO:0004175, GO:0004252, GO:0005576, GO:0005615, GO:0005783, GO:0005796, GO:0005886, GO:0007354, GO:0007368, GO:0008201, GO:0009100, GO:0009986, GO:0016020, GO:0016485, GO:0016486, GO:0030510, GO:0032902, GO:0032940, GO:0048406, GO:0051004, GO:0062023, GO:0070268
comp1010954	GO:0000462, GO:0003723, GO:0005524, GO:0005634, GO:0005654, GO:0005730, GO:0006364, GO:0034459
comp1011142	GO:0005765, GO:0016021, GO:0055085
comp1011471	GO:0004790, GO:0005737, GO:0005829, GO:0009308, GO:0009636, GO:0030748, GO:0032259, GO:0098615, GO:0102707
comp1011655	GO:0005776, GO:0005789, GO:0005829, GO:0005886, GO:0006699, GO:0008289, GO:0010506, GO:0015248, GO:0015485, GO:0016020, GO:0032934, GO:0043231, GO:0071397, GO:0097038, GO:1901800
comp1012036	GO:0000226, GO:0000287, GO:0004674, GO:0005524, GO:0005737, GO:0006468, GO:0035556, GO:0050321
comp1012688	GO:0004553, GO:0005975, GO:0016021
comp1012928	GO:0000184, GO:0004674, GO:0005524, GO:0005634, GO:0005654, GO:0005737, GO:0006281, GO:0018105, GO:0032204, GO:0042162, GO:0046777, GO:0046854, GO:0046872, GO:2001020
comp1013414	GO:0003854, GO:0006694, GO:0016021, GO:0016491, GO:0016616
comp1013827	GO:0005576, GO:0008233, GO:0043231
comp1013924	GO:0000978, GO:0000981, GO:0003700, GO:0005634, GO:0006357
comp101396	GO:0000082, GO:0000122, GO:0000307, GO:0001726, GO:0001954, GO:0003323, GO:0004693, GO:0005524, GO:0005634, GO:0005654, GO:0005737, GO:0005813, GO:0005829, GO:0006468, GO:0007050, GO:0007219, GO:0008285, GO:0009615, GO:0010468, GO:0010628, GO:0014002, GO:0021542, GO:0021670, GO:0030332, GO:0033077, GO:0042063, GO:0043697, GO:0045596, GO:0045638, GO:0045646, GO:0045656, GO:0045668, GO:0045786, GO:0048146, GO:0048699, GO:0050680, GO:0051301, GO:0060218, GO:0097132, GO:0098770, GO:1902036, GO:2000145, GO:2000773
comp1014925	GO:0005737, GO:0005856, GO:0008092, GO:0031032
comp1014941	GO:0000045, GO:0005739, GO:0005783, GO:0006915, GO:0034497, GO:0044325, GO:0072659
comp101501	GO:0005622, GO:0005634, GO:0030374, GO:0035257, GO:0045944, GO:1902083, GO:1903204
comp1015176	GO:0003677, GO:0005634, GO:0046872
comp1015211	GO:0005576
comp1015675	GO:0000122, GO:0000978, GO:0000980, GO:0000981, GO:0001227, GO:0001658, GO:0005634, GO:0005654, GO:0005730, GO:0005737, GO:0043565, GO:0045892, GO:0046872
comp101570	GO:0000981, GO:0003677, GO:0003700, GO:0005634, GO:0005654, GO:0005829, GO:0006915, GO:0016607, GO:0018024, GO:0030154, GO:0042803, GO:0043069, GO:0045892, GO:0045893, GO:0046329, GO:0046872, GO:0051726, GO:0071425
comp1015785	GO:0001501, GO:0001654, GO:0002051, GO:0002102, GO:0005737, GO:0006801, GO:0007507, GO:0010314, GO:0010628, GO:0016176, GO:0022617, GO:0030054, GO:0032266, GO:0035091, GO:0040018, GO:0042169, GO:0042995, GO:0045600, GO:0048705, GO:0051496, GO:0060348, GO:0060378, GO:0060612, GO:0070273, GO:0071800, GO:0072657, GO:0080025, GO:1904179, GO:1904888
comp101638	GO:0005524, GO:0009435, GO:0046872, GO:0050262, GO:0061769
comp1016629	GO:0005615, GO:0005654
comp1016652	GO:0005737
comp101682	GO:0000226, GO:0000278, GO:0003924, GO:0005200, GO:0005525, GO:0005623, GO:0005737, GO:0005874, GO:0007017, GO:0007411, GO:0030182
comp1017142	GO:0005102, GO:0009897, GO:0016021, GO:0050776, GO:0050852
comp1017227	GO:0003697, GO:0005524, GO:0006264, GO:0042645, GO:0043139
comp1017389	GO:0000226, GO:0000278, GO:0000922, GO:0004722, GO:0004725, GO:0005634, GO:0005654, GO:0005730, GO:0005737, GO:0005813, GO:0006281, GO:0006470, GO:0007096, GO:0008138, GO:0032467, GO:0071850, GO:0072425, GO:0072686, GO:1904668
comp1017547	GO:0000902, GO:0001955, GO:0005102, GO:0005509, GO:0005886, GO:0005911, GO:0005912, GO:0005913, GO:0005923, GO:0007043, GO:0007156, GO:0007179, GO:0008013, GO:0008092, GO:0008285, GO:0009897, GO:0009986, GO:0016021, GO:0016339, GO:0016342, GO:0019903, GO:0030054, GO:0034332, GO:0042803, GO:0043184, GO:0044325, GO:0044331, GO:0045296, GO:0045766, GO:0050728, GO:0071944, GO:0098609, GO:1903142, GO:2000114
comp101757	GO:0000902, GO:0005938, GO:0031175
comp1017938	GO:0000146, GO:0003091, GO:0005516, GO:0005524, GO:0015031, GO:0016192, GO:0016197, GO:0016459, GO:0017137, GO:0030659, GO:0032991, GO:0045179, GO:0051015, GO:0070062
comp1017997	GO:0005496, GO:0005886, GO:0016021, GO:0038023
comp101884	GO:0000979, GO:0000981, GO:0005634, GO:0006325, GO:0010468, GO:0043392, GO:0045944, GO:0046872
comp1019218	GO:0003779, GO:0005634, GO:0016567, GO:0019005
comp1019549	GO:0005524, GO:0005622, GO:0005634, GO:0005654, GO:0005829, GO:0006915, GO:0006919, GO:0006954, GO:0008656, GO:0016032, GO:0019899, GO:0019904, GO:0032495, GO:0042742, GO:0043280, GO:0045087, GO:0050718, GO:0050727, GO:0051402, GO:0061702, GO:0072558, GO:1904784
comp1019723	GO:0003677, GO:0005634, GO:0046872
comp1019807	GO:0001401, GO:0015031
comp1020288	GO:0000380, GO:0003729, GO:0005634, GO:0005654, GO:0016604, GO:0042669, GO:0043484, GO:0050679, GO:0060441, GO:0060445
comp1020994	GO:0003777, GO:0005524, GO:0005739, GO:0005871, GO:0005874, GO:0005875, GO:0007018, GO:0007270, GO:0007274, GO:0008017, GO:0008089, GO:0008574, GO:0010628, GO:0010970, GO:0016020, GO:0016192, GO:0016887, GO:0019900, GO:0030424, GO:0030425, GO:0030659, GO:0030705, GO:0031410, GO:0032418, GO:0043005, GO:0047497, GO:0097110, GO:1904115, GO:1904647, GO:1990048, GO:1990049, GO:1990090, GO:1990778, GO:1990939
comp1021236	GO:0016021
comp102158	GO:0004222, GO:0008270, GO:0030574, GO:0031012
comp1022424	GO:0004674, GO:0005524, GO:0005769, GO:0007165, GO:0016020, GO:0035091
comp1022787	GO:0005783, GO:0005789, GO:0006805, GO:0008194, GO:0015020, GO:0016021, GO:0019899, GO:0042803, GO:0043231, GO:0045922, GO:0046982, GO:0052695, GO:0052696, GO:0052697, GO:1904224, GO:2001030
comp1023132	GO:0003700, GO:0005634, GO:0043565, GO:0044212, GO:0045892, GO:0046872
comp102333	GO:0001501, GO:0002158, GO:0005887, GO:0007193, GO:0007194, GO:0007200, GO:0008217, GO:0008528, GO:0016941, GO:0017046, GO:0030157, GO:0031404, GO:0032991, GO:0033688, GO:0035810, GO:0042277, GO:0042562, GO:0042803, GO:0048015, GO:0048662, GO:0051000, GO:0070062, GO:0120163
comp1023407	GO:0000122, GO:0003682, GO:0004842, GO:0005164, GO:0005737, GO:0005777, GO:0005829, GO:0008270, GO:0016235, GO:0031625, GO:0032088, GO:0035518, GO:0036353, GO:0042803, GO:0046600, GO:0048471, GO:0051091, GO:0051092, GO:0051865, GO:0061630, GO:0070842
comp1023986	GO:0004725, GO:0005634, GO:0005737, GO:0005886, GO:0005977, GO:0006914, GO:0008138, GO:0016311, GO:0019203, GO:0030246, GO:0046838, GO:0098556, GO:2001069, GO:2001070
comp1024281	GO:0000287, GO:0003729, GO:0005525, GO:0005634, GO:0005654, GO:0005730, GO:0005737, GO:0006382, GO:0006402, GO:0008235, GO:0008284, GO:0016077, GO:0030145, GO:0030515, GO:0035863, GO:0035870, GO:0042803, GO:0046709, GO:0050072, GO:0050897, GO:0090068, GO:0098519, GO:1901639, GO:1901640, GO:1901641, GO:2000233, GO:2000781
comp1024680	GO:0005085, GO:0005813, GO:0005829, GO:0005886, GO:0007265, GO:0016324, GO:0017016, GO:0030033, GO:0030139, GO:0030742, GO:0043087, GO:0043547, GO:0070300, GO:0072659
comp1026090	GO:0000076, GO:0000785, GO:0000922, GO:0003677, GO:0003682, GO:0005634, GO:0005737, GO:0005815, GO:0006270, GO:0006281, GO:0006974, GO:0019900, GO:0030174, GO:0033138, GO:0035563, GO:0045860, GO:0071163, GO:0071165, GO:0071168
comp1026163	GO:0000981, GO:0003677, GO:0005634, GO:0042802, GO:0046872
comp1027857	GO:0000981, GO:0001227, GO:0001228, GO:0001525, GO:0001755, GO:0001842, GO:0001947, GO:0003682, GO:0005634, GO:0009913, GO:0009953, GO:0010628, GO:0010629, GO:0010719, GO:0010837, GO:0010944, GO:0043565, GO:0044212, GO:0045617, GO:0045618, GO:0045746, GO:0045892, GO:0046872, GO:0048557, GO:0051726, GO:0060214, GO:0060347, GO:0060390, GO:0060716, GO:0071560, GO:2000647
comp1028675	GO:0000139, GO:0005829, GO:0006886, GO:0016020, GO:0016021, GO:0017112, GO:0017137, GO:0032588, GO:0032991, GO:0034066, GO:0042147, GO:0043547, GO:1903363
comp1029424	GO:0005085, GO:0005089, GO:0005096, GO:0005829, GO:0007186, GO:0016020, GO:0019216, GO:0030027, GO:0030175, GO:0030426, GO:0035023, GO:0035556, GO:0043065, GO:0051056, GO:0070062
comp1029988	GO:0000981, GO:0003677, GO:0005634, GO:0046872
comp1030813	GO:0005634, GO:0005737, GO:0005829, GO:0005886, GO:0006325, GO:0008104, GO:0008156, GO:0012505, GO:0016021, GO:0031497
comp1030853	GO:0003714, GO:0005634, GO:0005654, GO:0005667, GO:0005829, GO:0007165, GO:0007275, GO:0008134, GO:0009887, GO:0010628, GO:0016055, GO:0030178, GO:0042802, GO:0043124, GO:0045892, GO:0070491, GO:0090090, GO:1904837, GO:1990907, GO:2000811
comp1031056	GO:0000245, GO:0000398, GO:0005654, GO:0005681, GO:0005689, GO:0008380, GO:0030628, GO:0046872, GO:0089701
comp1031114	GO:0005802, GO:0005829, GO:0005886, GO:0008104, GO:0012505, GO:0019901
comp103128	GO:0000922, GO:0005815, GO:0005829, GO:0007165, GO:0050769, GO:2000179
comp1031474	GO:0000978, GO:0000979, GO:0001046, GO:0001228, GO:0003700, GO:0005634, GO:0005654, GO:0005667, GO:0005737, GO:0005829, GO:0006357, GO:0007005, GO:0042803, GO:0045944, GO:0051602
comp1031905	GO:0001726, GO:0005096, GO:0005654, GO:0005829, GO:0005925, GO:0016477, GO:0043231, GO:0043547, GO:0046872, GO:0051492
comp103195	GO:0005654, GO:0005737, GO:0005794, GO:0005829, GO:0015871, GO:0039536, GO:0039552, GO:0045087, GO:0098772
comp1031952	GO:0004725, GO:0004860, GO:0005078, GO:0005737, GO:0006469, GO:0008579, GO:0030295, GO:0031435, GO:0043405, GO:0043410, GO:0043507, GO:0043508, GO:0045860, GO:0046329, GO:0046330
comp103199	GO:0005249, GO:0005251, GO:0005886, GO:0008076, GO:0016021, GO:0034765, GO:0044325, GO:0051260, GO:0071805
comp1032116	GO:0001750, GO:0003723, GO:0005085, GO:0005794, GO:0005813, GO:0006886, GO:0007601, GO:0036064, GO:0036126, GO:0042073, GO:0050896, GO:0060271
comp1032191	GO:0000209, GO:0000288, GO:0000932, GO:0000956, GO:0001782, GO:0002634, GO:0002635, GO:0003723, GO:0003725, GO:0003730, GO:0004842, GO:0008270, GO:0010494, GO:0010608, GO:0030889, GO:0033962, GO:0035198, GO:0035613, GO:0042098, GO:0043029, GO:0043488, GO:0045623, GO:0046007, GO:0048535, GO:0048536, GO:0050852, GO:0050856, GO:0061014, GO:0061158, GO:0061470, GO:0061630, GO:0071347, GO:1901224, GO:2000320, GO:2000628
comp1032209	GO:0000922, GO:0005814, GO:0005929, GO:0016594, GO:0016595, GO:0016596
comp1032809	GO:0004360, GO:0005829, GO:0006002, GO:0006047, GO:0006048, GO:0006112, GO:0006487, GO:0006541, GO:0097367, GO:1990830
comp103286	GO:0005623, GO:0006623, GO:0007005, GO:0019898, GO:0045053, GO:0070062, GO:1901526
comp10331	GO:0000776, GO:0000785, GO:0007050, GO:0007089, GO:0008285, GO:0031396, GO:0034501, GO:0045839
comp103388	GO:0000165, GO:0000786, GO:0001782, GO:0001942, GO:0003209, GO:0003344, GO:0003677, GO:0005085, GO:0005088, GO:0005089, GO:0005096, GO:0005737, GO:0005829, GO:0005886, GO:0007165, GO:0007173, GO:0007186, GO:0007265, GO:0007296, GO:0007411, GO:0008286, GO:0014069, GO:0017124, GO:0019221, GO:0033081, GO:0035023, GO:0035264, GO:0038095, GO:0038128, GO:0042129, GO:0043025, GO:0043065, GO:0045742, GO:0046982, GO:0048011, GO:0048514, GO:0050900, GO:0051056, GO:0051057, GO:0060021, GO:0061029, GO:0061384, GO:1904693, GO:2000973
comp1035865	GO:0005765, GO:0005777, GO:0007417, GO:0009791, GO:0021540, GO:0031667, GO:0034198, GO:0042149, GO:0043473, GO:0061462, GO:0061700, GO:0140007, GO:1901668, GO:1904262, GO:1990130
comp1036189	GO:0000979, GO:0002052, GO:0005634, GO:0007420, GO:0010468, GO:0040029, GO:0044212, GO:0046872, GO:0048812, GO:0050671, GO:0050769, GO:0080182, GO:2000327
comp1036256	GO:0005654, GO:0005829, GO:0006929, GO:0016322, GO:0043005, GO:0046875, GO:0048013, GO:1901187
comp1036272	GO:0000122, GO:0005634, GO:0006974, GO:0007519, GO:0043565, GO:0045892, GO:0046872
comp103719	GO:0005634, GO:0005654, GO:0015629, GO:0016180, GO:0032039, GO:0034472
comp1037252	GO:0005737, GO:0005856, GO:0005929, GO:0016021, GO:0035869, GO:0036038, GO:0060271, GO:1905515
comp1037637	GO:0005615, GO:0006520, GO:0006807, GO:0008233, GO:0016811, GO:0016829, GO:0043604, GO:0043605, GO:0044255, GO:0046872, GO:0097009, GO:1990845, GO:2000275
comp103792	GO:0003723, GO:0008270
comp1038198	GO:0003950, GO:0006471, GO:0050775, GO:0070213, GO:0140289, GO:1990404
comp1038774	GO:0005737, GO:0005856, GO:0005929, GO:0006357, GO:0007224, GO:0008589, GO:0021591, GO:0021798, GO:0030991, GO:0035721, GO:0061512
comp1038779	GO:0005783, GO:0005793, GO:0005801, GO:0006506, GO:0006888, GO:0008081, GO:0016021, GO:0030145, GO:0033116, GO:0034235, GO:0070971
comp1039034	GO:0000122, GO:0001701, GO:0002039, GO:0003677, GO:0003678, GO:0003682, GO:0005524, GO:0005634, GO:0007420, GO:0008013, GO:0008094, GO:0016055, GO:0030178, GO:0032991, GO:0035064, GO:0035176, GO:0042393, GO:0043044, GO:0043066, GO:0045892, GO:0045893, GO:0045944, GO:0045945, GO:0048565, GO:0060134, GO:0070016, GO:0071339, GO:0090090, GO:2000270
comp1039258	GO:0000828, GO:0000832, GO:0001650, GO:0005524, GO:0005634, GO:0005737, GO:0005829, GO:0006020, GO:0032958, GO:0046854, GO:0052723, GO:0052724, GO:0120163
comp1039757	GO:0003834, GO:0004744, GO:0005622, GO:0005739, GO:0010436, GO:0016116, GO:0016119, GO:0016121, GO:0016122, GO:0016702, GO:0042573, GO:0042574, GO:0046872, GO:0051881, GO:0055114, GO:0102076, GO:2000377
comp1039839	GO:0004415, GO:0005540, GO:0005576, GO:0005634, GO:0005737, GO:0005783, GO:0005886, GO:0005905, GO:0007605, GO:0010800, GO:0030213, GO:0030214, GO:0030335, GO:0030665, GO:0032050, GO:0045334, GO:0046923, GO:0051281, GO:0090314, GO:1900020
comp1040190	GO:0000184, GO:0003723, GO:0004672, GO:0004674, GO:0005524, GO:0005634, GO:0005654, GO:0005737, GO:0005829, GO:0006281, GO:0006406, GO:0018105, GO:0032204, GO:0042162, GO:0046777, GO:0046854, GO:0046872, GO:2001020
comp104031	GO:0005096, GO:0005789, GO:0005829, GO:0005886, GO:0006886, GO:0008047, GO:0017112, GO:0017137, GO:0030234, GO:0032991, GO:0043087, GO:0046982, GO:0097051, GO:1903061, GO:1903373, GO:2000786
comp104078	GO:0008484, GO:0016021, GO:0046872
comp104096	GO:0003924, GO:0005525, GO:0005737, GO:0005739, GO:0005764, GO:0005769, GO:0005783, GO:0005802, GO:0005829, GO:0005886, GO:0006886, GO:0006996, GO:0007005, GO:0016020, GO:0016192, GO:0030670, GO:0030742, GO:0031982, GO:0032482, GO:0033162, GO:0035646, GO:0035650, GO:0035651, GO:0036461, GO:0042470, GO:0044233, GO:0045335, GO:0060155, GO:0072657, GO:0090383, GO:1903232, GO:2001247
comp1041625	GO:0001530, GO:0003723, GO:0003725, GO:0004525, GO:0005634, GO:0005654, GO:0005730, GO:0006396, GO:0010586, GO:0010628, GO:0014069, GO:0016075, GO:0017151, GO:0030422, GO:0031053, GO:0031054, GO:0042254, GO:0042803, GO:0045589, GO:0046332, GO:0046872, GO:0050727, GO:0050829, GO:0050830, GO:0070412, GO:0070877, GO:0070878, GO:2000628
comp1041659	GO:0000086, GO:0005813, GO:0005814, GO:0005829, GO:0005929, GO:0007099, GO:0010389, GO:0016579, GO:0032053, GO:0032465, GO:0032991, GO:0045724, GO:0051298, GO:0097711, GO:1902018
comp104213	GO:0005634, GO:0007605, GO:0007626, GO:0032184, GO:0042472, GO:0046872, GO:0050890, GO:0090102
comp1042484	GO:0003677, GO:0003682, GO:0005654, GO:0006351, GO:0009887, GO:0016579, GO:0035360, GO:0035517, GO:0042975, GO:0045600, GO:0045944, GO:0046872
comp104272	GO:0003723, GO:0005634, GO:0010609, GO:0017091, GO:0046872, GO:0048471, GO:0061157
comp1042837	GO:0000775, GO:0000785, GO:0001939, GO:0001940, GO:0005634, GO:0005721, GO:0005819, GO:0006974, GO:0010369, GO:0019899, GO:0042802, GO:0042803, GO:0045892, GO:0090734, GO:1990226
comp1042850	GO:0003677, GO:0006310, GO:0015074, GO:0032196
comp1043087	GO:0005829, GO:0005886, GO:0019888
comp1043991	GO:0001649, GO:0001953, GO:0001968, GO:0005109, GO:0005741, GO:0005743, GO:0005758, GO:0005783, GO:0005791, GO:0005794, GO:0005929, GO:0014068, GO:0014734, GO:0022011, GO:0030335, GO:0030971, GO:0031175, GO:0031410, GO:0032027, GO:0033268, GO:0035024, GO:0038031, GO:0038133, GO:0043408, GO:0045162, GO:0046872, GO:0051496, GO:0051497, GO:0051894, GO:0051897, GO:0051901, GO:0060348, GO:0062023, GO:0070062, GO:1900026
comp1045595	GO:0005654, GO:0036297, GO:0043240, GO:1905168, GO:1990414, GO:2000042
comp104572	GO:0000430, GO:0000432, GO:0000981, GO:0003700, GO:0005634, GO:0005654, GO:0006366, GO:0007595, GO:0019086, GO:0042803, GO:0043231, GO:0043425, GO:0043565, GO:0045944, GO:0046982, GO:0055088
comp1046345	GO:0016021
comp1046550	GO:0000777, GO:0003677, GO:0004386, GO:0005524, GO:0007049, GO:0016539, GO:0051301
comp1047524	GO:0004198, GO:0005509, GO:0005737, GO:0006508
comp1048010	GO:0005548, GO:0005789, GO:0005886, GO:0008526, GO:0016021, GO:0032541, GO:0035091, GO:0035774, GO:0043559, GO:0140268
comp1048356	GO:0042273, GO:0051082
comp1048806	GO:0003924, GO:0005525, GO:0005730, GO:0007165, GO:0016020, GO:0045943
